company,location,certification,datacenter
AmberCore DC UAB,"Vilnius, Lithuania",Tier III Certification of Design Documents,AmberCore DC UAB
America Movil Peru SAC,"Lima, Peru",Tier III Certification of Design Documents,America Movil Peru SAC
American Airlines,"Tempe Arizona, United States",M&O Stamp Of Approval,American Airlines
American Electric Power,"New Albany OH, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,American Electric Power
American Electric Power,"Groveport Ohio, United States",Tier III Certification of Constructed Facility,American Electric Power
Americatel,"Lima, Peru",Tier III Certification of Design Documents,Americatel
Angola Cables,"Fortaleza, Brazil",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Angola Cables
Angola Cables,"Fortaleza, Brazil",Tier III Certification of Design Documents,Angola Cables
Antel,"Pando Canelones, Uruguay",Tier III Certification of Constructed FacilityTier III Certification of Design Documents,Antel
APIS IT d.o.o.,"Jastrebarsko, Croatia",Tier III Certification of Design Documents,APIS IT d.o.o.
Aqua Ray SAS,"Ivry-sur-Seine, France",Tier IV Certification of Design Documents,Aqua Ray SAS
Arab Bank Egypt,"Cairo, Egypt",Tier III Certification of Design Documents,Arab Bank Egypt
Arab Bank PLC,"Amman, Jordan",Tier III Certification of Design Documents,Arab Bank PLC
Arab Satellite Communications Organization (ARABSAT),"Riyadh Riyadh, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Arab Satellite Communications Organization (ARABSAT)
Aristos Real Estate,"Ciudad Arce, El Salvador",Tier III Certification of Design Documents,Aristos Real Estate
Ark Data Centres Limited,"Farnborough, United Kingdom",M&O Stamp Of Approval,Ark Data Centres Limited
Ark Data Centres Limited,"Corsham, United Kingdom",M&O Stamp Of Approval,Ark Data Centres Limited
Arsys Internet S.L.U.,"Logroño, Spain",Tier III Certification of Design Documents,Arsys Internet S.L.U.
ASA MSTelcom,"Luanda, Angola",Tier III Certification of Design Documents,ASA MSTelcom
ASAC Comunicaciones S.L.,"Llanera, Spain",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,ASAC Comunicaciones S.L.
Ascenty Data Centers Locação E Serviço LTDA,"Sao Paulo, Brazil",Tier III Certification of Design Documents,Ascenty Data Centers Locação E Serviço LTDA
Ascenty Data Centers Locação E Serviço LTDA,"Sao Paulo, Brazil",Tier III Certification of Design Documents,Ascenty Data Centers Locação E Serviço LTDA
Ascenty Data Centers Locação E Serviço LTDA,"Maracanau Ceara, Brazil",Tier III Certification of Design Documents,Ascenty Data Centers Locação E Serviço LTDA
Ascenty Data Centers Locação E Serviço LTDA,"Maracanau Ceara, Brazil",Tier III Certification of Constructed Facility,Ascenty Data Centers Locação E Serviço LTDA
