company,location,certification,datacenter
Cyxtera Technologies,"Denver Colorado, United States",M&O Stamp Of Approval,Cyxtera Technologies
Cyxtera Technologies,"Irvine California, United States",Tier III Gold Certification of Operational Sustainability,Cyxtera Technologies
Cyxtera Technologies,"Vancouver, Canada",M&O Stamp Of Approval,Cyxtera Technologies
Cyxtera Technologies,"Tampa Florida, United States",M&O Stamp Of Approval,Cyxtera Technologies
Cyxtera Technologies,"Denver Colorado, United States",M&O Stamp Of Approval,Cyxtera Technologies
Cyxtera Technologies,"Markham Ontario, Canada",M&O Stamp Of Approval,Cyxtera Technologies
Cyxtera Technologies,"Markham Ontario, Canada",Tier III Silver Certification of Operational SustainabilityTier III Certification of Constructed Facility,Cyxtera Technologies
Cyxtera Technologies,"Markham Ontario, Canada",Tier III Certification of Design Documents,Cyxtera Technologies
Cyxtera Technologies,"Fort Worth Texas, United States",M&O Stamp Of Approval,Cyxtera Technologies
Cyxtera Technologies,"Elk Grove Illinois, United States",M&O Stamp Of Approval,Cyxtera Technologies
Cyxtera Technologies,"London, United Kingdom",M&O Stamp Of Approval,Cyxtera Technologies
Cyxtera Technologies,"Albuquerque New Mexico, United States",M&O Stamp Of Approval,Cyxtera Technologies
Cyxtera Technologies,"Weehawken New Jersey, United States",M&O Stamp Of Approval,Cyxtera Technologies
Cyxtera Technologies,"Elk Grove Village Illinois, United States",M&O Stamp Of Approval,Cyxtera Technologies
Cyxtera Technologies,"Singapore, Singapore",M&O Stamp Of Approval,Cyxtera Technologies
Cyxtera Technologies,"Minneapolis Minnesota, United States",M&O Stamp Of Approval,Cyxtera Technologies
Cyxtera Technologies,"Lithia Springs Georgia, United States",M&O Stamp Of Approval,Cyxtera Technologies
Cyxtera Technologies,"Singapore, Singapore",M&O Stamp Of Approval,Cyxtera Technologies
Dalian Commodity Exchange,"Dalian, China",Tier III Certification of Design Documents,Dalian Commodity Exchange
Data 17 SAS,"Saint-Jean-d'Angély, France",Tier IV Certification of Design Documents,Data 17 SAS
Data 17 SAS,"Saint-Jean-d'Angély, France",Tier IV Certification of Constructed Facility,Data 17 SAS
Data Center Vault LLC,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design Documents,Data Center Vault LLC
"Data Shelter, LLC","Fort Pierce Florida, United States",Tier IV Certification of Design Documents,"Data Shelter, LLC"
DataBank,"Eagan Minnesota, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,DataBank
DataBank,"Plano Texas, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,DataBank
Datacenter United,"Antwerp, Belgium",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,Datacenter United
Datacenter.com Netherlands BV,"Amsterdam, Netherlands",Tier III Certification of Design Documents,Datacenter.com Netherlands BV
Datacom,"Christchurch, New Zealand",M&O Stamp Of Approval,Datacom
Datacom,"Hamilton, New Zealand",M&O Stamp Of Approval,Datacom
Datacom,"Auckland, New Zealand",M&O Stamp Of Approval,Datacom
Datacom,"Wellington, New Zealand",M&O Stamp Of Approval,Datacom
Datahouse Kopčianska s.r.o.,"Bratislava, Slovakia",Tier III Certification of Design Documents,Datahouse Kopčianska s.r.o.
DataLine LLC,"Moscow, Russia",Tier III Certification of Design Documents,DataLine LLC
DataLine LLC,"Moscow, Russia",Tier III Certification of Constructed FacilityTier III Silver Certification of Operational Sustainability,DataLine LLC
DataLine LLC,"Moscow, Russia",M&O Stamp Of Approval,DataLine LLC
DataLine LLC,"Moscow, Russia",Tier III Certification of Design Documents,DataLine LLC
DataMount,"Jebel Akhdar, Oman",Tier III Certification of Design Documents,DataMount
Dataplanet N.V.,"Willemstad, Curacao",Tier IV Certification of Design Documents,Dataplanet N.V.
Dataplanet N.V.,"Willemstad, Curacao",Tier IV Certification of Constructed Facility,Dataplanet N.V.
DATAPREV,"Rio de Janeiro Rio de Janeiro, Brazil",Tier III Certification of Design Documents,DATAPREV
DATAPREV,"Rio de Janeiro Rio de Janeiro, Brazil",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,DATAPREV
DATAPREV,"Sao Paulo Sao Paulo, Brazil",Tier III Certification of Design Documents,DATAPREV
DATAPREV,"Sao Paulo Sao Paulo, Brazil",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,DATAPREV
DATAPREV,"Brasilia Distrito Federal, Brazil",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,DATAPREV
DataPro LLC,"Moscow, Russia",Tier III Certification of Design Documents,DataPro LLC
DataPro LLC,"Moscow, Russia",Tier III Certification of Constructed FacilityTier III Silver Certification of Operational Sustainability,DataPro LLC
DataPro LLC,"Tver, Russia",Tier III Certification of Design Documents,DataPro LLC
DataSpace,"Moscow, Russia",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,DataSpace
DataSpring s.r.o,"Hodonin, Czech Republic",Tier III Certification of Design Documents,DataSpring s.r.o
DataVita Limited,"Glasgow Scotland, United Kingdom",Tier III Certification of Design Documents,DataVita Limited
DataVita Limited,"Glasgow Scotland, United Kingdom",Tier III Certification of Constructed Facility,DataVita Limited
Datema Bilişim Ticaret AŞ,"Istanbul, Turkey",Tier III Certification of Design Documents,Datema Bilişim Ticaret AŞ
Daycohost,"Valencia Carabobo, Venezuela",Tier III Certification of Design Documents,Daycohost
"DC BLOX, Inc.","Birmingham Alabama, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,"DC BLOX, Inc."
"DC BLOX, Inc.","Greenville South Carolina, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,"DC BLOX, Inc."
DC North d.o.o.,"Varaždin, Croatia",Tier III Certification of Design Documents,DC North d.o.o.
DC Two Limited,"Perth, Australia",Tier III Certification of Design Documents,DC Two Limited
Dell (Chengdu) Company Limited,"Chengdu, China",M&O Stamp Of Approval,Dell (Chengdu) Company Limited
"Dell (China) Co., Ltd","Xiamen, China",M&O Stamp Of Approval,"Dell (China) Co., Ltd"
"Dell (Xiamen) Co., Ltd","Xiamen, China",M&O Stamp Of Approval,"Dell (Xiamen) Co., Ltd"
Dell Global Business Center Sdn Bhd,"Bukit Mertajam, Malaysia",M&O Stamp Of Approval,Dell Global Business Center Sdn Bhd
Dell Technologies,"Ovens, Ireland",M&O Stamp Of Approval,Dell Technologies
Delta Air Lines,"Hapeville Georgia, United States",M&O Stamp Of Approval,Delta Air Lines
Delta Dental of Michigan,"Okemos Michigan, United States",Tier III Certification of Design Documents,Delta Dental of Michigan
Delta Telecom LTD,"Baku, Azerbaijan",Tier III Certification of Design Documents,Delta Telecom LTD
"Department of Information Technology and Communication (DoIT&C), Government of Rajasthan (GoR)","Jaipur, India",Tier IV Certification of Constructed FacilityTier IV Certification of Design Documents,"Department of Information Technology and Communication (DoIT&C), Government of Rajasthan (GoR)"
"Department of Information Technology, Government of Bihar","Patna, India",Tier III Certification of Design Documents,"Department of Information Technology, Government of Bihar"
Desarrolladora de Zonas Francas S.A.,"Bogotá, Colombia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Desarrolladora de Zonas Francas S.A.
Desarrolladora de Zonas Francas S.A.,"Bogotá, Colombia",M&O Stamp Of Approval,Desarrolladora de Zonas Francas S.A.
Desarrolladora de Zonas Francas S.A.,"Bogota Distrito Capital, Colombia",Tier III Certification of Design Documents,Desarrolladora de Zonas Francas S.A.
Desarrolladora de Zonas Francas S.A.,"Bogota Distrito Capital, Colombia",Tier III Certification of Design Documents,Desarrolladora de Zonas Francas S.A.
Deutsche Post DHL,"Prague, Czech Republic",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Deutsche Post DHL
Dhaka Electric Supply Company Limited (DESCO),"Dhaka, Bangladesh",Tier III Certification of Design Documents,Dhaka Electric Supply Company Limited (DESCO)
Dholera Industrial City Development Limited,"Dholera, India",Tier III Certification of Design Documents,Dholera Industrial City Development Limited
Dialog Broadband Networks,"Malabe Western Province, Sri Lanka",Tier III Certification of Design Documents,Dialog Broadband Networks
Dialog Broadband Networks,"Malabe Western Province, Sri Lanka",Tier III Certification of Constructed Facility,Dialog Broadband Networks
Digicel Jamaica,"St. Catherine Parish, Jamaica",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Digicel Jamaica
DigiPlex Fet AS,"Oslo, Norway",Tier III Certification of Design Documents,DigiPlex Fet AS
DigiPlex Fet AS,"Oslo, Norway",Tier III Certification of Constructed Facility,DigiPlex Fet AS
Digital Nexus LLC,"Muscat, Oman",Tier III Certification of Design Documents,Digital Nexus LLC
Digital Parks SA (Pty) Ltd,"Samrand, South Africa",Tier III Certification of Design Documents,Digital Parks SA (Pty) Ltd
Digital Realty,"Ibaraki City, Japan",Tier III Certification of Design Documents,Digital Realty
Digital Realty,"Dublin, Ireland",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Digital Realty
Digital Realty,"Ashburn Virginia, United States",Tier III Certification of Design Documents,Digital Realty
Digital Realty,"Richardson Texas, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Digital Realty
Digital Realty,"North Sydney NSW, Australia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Digital Realty
Digital Realty,"Ashburn Virginia, United States",M&O Stamp Of Approval,Digital Realty
Digital Realty,"Hillsboro, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Digital Realty
Digital Realty,"Melbourne Victoria, Australia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Digital Realty
Digital Realty,"Sydney, Australia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Digital Realty
Digital Realty,"Trumbull Connecticut, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Digital Realty
Digital Realty,"Melbourne, Australia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Digital Realty
Digital Realty Trust,"Hong Kong, China",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Digital Realty Trust
Digital Realty Trust,"Hong Kong, China",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Digital Realty Trust
Direction Générale des Douanes,"Dakar, Senegal",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Direction Générale des Douanes
Discount Group,"Rishon LeTsiyon, Israel",Tier III Certification of Constructed Facility,Discount Group
Discount Group,"Rishon LeTsiyon, Israel",Tier III Certification of Design Documents,Discount Group
DITO Telecommunity Corporation,"Batangas, Philippines",Tier III Certification of Design Documents,DITO Telecommunity Corporation
"Docalia,S.L.","Alcobendas Madrid, Spain",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,"Docalia,S.L."
"Docomo Pacific, Inc.","Talofofo, Guam",Tier III Certification of Design Documents,"Docomo Pacific, Inc."
Dodid Pte Ltd,Singapore,Tier III Certification of Constructed Facility,Dodid Pte Ltd
Dodid Pte Ltd,Singapore,Tier III Certification of Design Documents,Dodid Pte Ltd
"Dongguan OPPO Telecommunications Technology Corp., Ltd.","Dongguan, China",Tier III Certification of Design Documents,"Dongguan OPPO Telecommunications Technology Corp., Ltd."
"Dongguan Yundaxin Data Technology Co., Ltd.","Dongguan City, China",M&O Stamp Of Approval,"Dongguan Yundaxin Data Technology Co., Ltd."
"Dongguan, Shenzhen Securities Communication CO., LTD. (DGSSCC)","Dongguan, China",M&O Stamp Of Approval,"Dongguan, Shenzhen Securities Communication CO., LTD. (DGSSCC)"
"Dongguan, Shenzhen Securities Communication CO., LTD. (DGSSCC)","Dongguan, China",Tier IV Certification of Design Documents,"Dongguan, Shenzhen Securities Communication CO., LTD. (DGSSCC)"
"Dongguan, Shenzhen Securities Communication CO., LTD. (DGSSCC)","Dongguan, China",Tier III Certification of Design Documents,"Dongguan, Shenzhen Securities Communication CO., LTD. (DGSSCC)"
"DP Facilities South, LLC","Wise Virginia, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,"DP Facilities South, LLC"
Dubai Airports,"Dubai Dubai, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Dubai Airports
Dubai Courts,"Dubai, United Arab Emirates",Tier II Certification of Design DocumentsTier II Certification of Constructed Facility,Dubai Courts
Dubai Electricity & Water Authority,"Duba, United Arab Emirates",Tier III Certification of Design Documents,Dubai Electricity & Water Authority
Dubai Health Authority,"Dubai, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Dubai Health Authority
Dubai International Financial Centre (DIFC),"Dubai, United Arab Emirates",M&O Stamp Of ApprovalTier III Certification of Design DocumentsTier III Certification of Constructed Facility,Dubai International Financial Centre (DIFC)
Dubai Municipality,"Dubai, United Arab Emirates",Tier III Certification of Design Documents,Dubai Municipality
Dubai Refreshment PJSC,"Dubai Dubai, United Arab Emirates",Tier III Certification of Design Documents,Dubai Refreshment PJSC
Dubai Silicon Oasis Authority,"Dubai, United Arab Emirates",Tier III Certification of Design Documents,Dubai Silicon Oasis Authority
Duomenu Logistikos Centras,"Vilnius, Lithuania",Tier III Certification of Constructed Facility,Duomenu Logistikos Centras
DUTECH LLC,"Dubai, United Arab Emirates",Tier III Certification of Design Documents,DUTECH LLC
DXC - CDG,"Technopolis, Morocco",Tier III Certification of Design Documents,DXC - CDG
DXN Limited,"Sydney, Australia",Tier III Certification of Constructed Facility,DXN Limited
Eastern Province Emirate,"Dammam, Saudi Arabia",Tier II Certification of Design Documents,Eastern Province Emirate
EBRC,"Luxembourg, Luxembourg",Tier IV Certification of Design Documents,EBRC
EBRC,"Luxembourg, Luxembourg",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,EBRC
EBRC,"Luxembourg, Luxembourg",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,EBRC
"ECX Sant Boi de Llobregat Barcelona, S.L.U.","Barcelona, Spain",Tier III Certification of Design Documents,"ECX Sant Boi de Llobregat Barcelona, S.L.U."
EDIC,"Al Ain Abu Dhabi, United Arab Emirates",Tier III Certification of Design Documents,EDIC
EDICOM,"Paterna Valencia, Spain",Tier II Certification of Design Documents,EDICOM
"EEC Global Cloud Co., Ltd.","Rayong, Thailand",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,"EEC Global Cloud Co., Ltd."
Elea Digital Infraestrutura e Redes de Telecomunicações S.A.,"Brasilia, Brazil",Tier III Certification of Design Documents,Elea Digital Infraestrutura e Redes de Telecomunicações S.A.
Elea Digital Infraestrutura e Redes de Telecomunicações S.A.,"São Paulo, Brazil",Tier III Certification of Design Documents,Elea Digital Infraestrutura e Redes de Telecomunicações S.A.
Elea Digital Infraestrutura e Redes de Telecomunicações S.A.,"Rio de Janeiro, Brazil",Tier III Certification of Design Documents,Elea Digital Infraestrutura e Redes de Telecomunicações S.A.
Elea Digital Infraestrutura e Redes de Telecomunicações S.A.,"Rio de Janeiro, Brazil",Tier III Certification of Constructed Facility,Elea Digital Infraestrutura e Redes de Telecomunicações S.A.
Electronic Government Agency,"Bangkok, Thailand",Tier III Certification of Design Documents,Electronic Government Agency
Elmec,"Brunello VA, Italy",Tier IV Certification of Design Documents,Elmec
Elmec,"Brunello VA, Italy",Tier IV Certification of Constructed Facility,Elmec
Embratel,"Sao Paulo, Brazil",Tier III Certification of Design Documents,Embratel
Emirates Integrated Telecommunications Company PJSC,"Dubai, United Arab Emirates",Tier III Certification of Design Documents,Emirates Integrated Telecommunications Company PJSC
Emirates Integrated Telecommunications Company PJSC,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design Documents,Emirates Integrated Telecommunications Company PJSC
Emirates Telecommunication Group Company PJSC (Etisalat),"Sharjah, United Arab Emirates",Tier III Certification of Design Documents,Emirates Telecommunication Group Company PJSC (Etisalat)
Empresa Argentina de Soluciones Satelitales Sociedad Anónima AR-SAT,"Buenos Aires, Argentina",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Empresa Argentina de Soluciones Satelitales Sociedad Anónima AR-SAT
Empresa de Telecomunicaciones de Bogotá S.A. E.S.P.,"Bogota Cundinamarca, Colombia",Tier III Certification of Design Documents,Empresa de Telecomunicaciones de Bogotá S.A. E.S.P.
"Empresa Interbancária de Serviços (EMIS), SA","Luanda, Angola",Tier III Certification of Design Documents,"Empresa Interbancária de Serviços (EMIS), SA"
"Empresa Interbancária de Serviços (EMIS), SA","Luanda, Angola",Tier III Certification of Design Documents,"Empresa Interbancária de Serviços (EMIS), SA"
Enagás,"Madrid, Spain",Tier IV Certification of Design Documents,Enagás
Energy City Qatar Holding Company,"Doha, Qatar",Tier III Certification of Design Documents,Energy City Qatar Holding Company
Energy City Qatar Holding Company,"Doha, Qatar",Tier III Certification of Constructed Facility,Energy City Qatar Holding Company
Engineering,"Vicenza, Italy",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,Engineering
ENTEL,"Santiago, Chile",Tier IV Certification of Constructed FacilityTier IV Certification of Design DocumentsTier IV Gold Certification of Operational Sustainability,ENTEL
ENTEL,"Santiago, Chile",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,ENTEL
European Patent Office,"Rijswijk Zuid Holland, Netherlands",Tier III Certification of Design Documents,European Patent Office
Equinix,"Ashburn Virginia , United States",M&O Stamp Of Approval,Equinix
Equinix Australia,"Perth, Australia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Equinix Australia
Equinix Australia,"Perth, Australia",Tier III Certification of Constructed Facility - Provisional,Equinix Australia
Equinix Australia,"Silverwater, Australia",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Equinix Australia
Equinix Australia,"Unanderra, Australia",Tier III Certification of Design Documents,Equinix Australia
Equinix Australia,"Unanderra, Australia",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Equinix Australia
Equinix Brasil,"Barueri Sao Paulo, Brazil",Tier III Certification of Design Documents,Equinix Brasil
Equinix Brasil,"Barueri Sao Paulo, Brazil",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Equinix Brasil
Equinix Brasil,"Santana de Parnaiba Sao Paulo, Brazil",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Equinix Brasil
Equinix Brasil,"Santana de Parnaiba Sao Paulo, Brazil",Tier III Gold Certification of Operational Sustainability,Equinix Brasil
Equinix Brasil,"Rio de Janeiro, Brazil",Tier III Certification of Design Documents,Equinix Brasil
Equinix Brasil,"Rio de Janeiro, Brazil",Tier III Certification of Design Documents,Equinix Brasil
Equinix Brasil,"Rio de Janeiro, Brazil",Tier III Certification of Constructed Facility,Equinix Brasil
Equinix Brasil,"São Paulo, Brazil",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Equinix Brasil
Equinix Brasil,"São João de Meriti, Brazil",Tier III Certification of Design Documents,Equinix Brasil
Equinix Chile,"Santiago, Chile",Tier III Certification of Constructed FacilityTier III Certification of Design Documents,Equinix Chile
Equinix Chile,"Santiago, Chile",Tier III Gold Certification of Operational Sustainability,Equinix Chile
Equinix Chile,"Santiago, Chile",Tier III Certification of Design Documents,Equinix Chile
Equinix Chile,"Santiago, Chile",Tier III Certification of Constructed Facility,Equinix Chile
Equinix Chile,"Santiago, Chile",Tier III Certification of Constructed Facility,Equinix Chile
Equinix Chile,"Santiago, Chile",M&O Stamp Of Approval,Equinix Chile
Equinix Singapore Pte Ltd,"Singapore, Singapore",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Equinix Singapore Pte Ltd
Equinix UK Ltd,"Slough, United Kingdom",M&O Stamp Of Approval,Equinix UK Ltd
ESDS,"Mumbai Maharashtra, India",Tier III Certification of Design Documents,ESDS
eStruxture Data Centers Inc.,"Calgary, Canada",Tier III Certification of Design Documents,eStruxture Data Centers Inc.
eStruxture Data Centers Inc.,"Calgary, Canada",Tier III Certification of Constructed Facility,eStruxture Data Centers Inc.
Etihad Etisalat Company,"Riyadh, Saudi Arabia",Tier II Certification of Design Documents,Etihad Etisalat Company
Etihad Etisalat Company,"Jeddah, Saudi Arabia",Tier III Certification of Design DocumentsTier III Gold Certification of Operational Sustainability,Etihad Etisalat Company
Etihad Etisalat Company,"Jeddah, Saudi Arabia",Tier III Certification of Constructed Facility,Etihad Etisalat Company
Etihad Etisalat Company,"Riyadh, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Etihad Etisalat Company
Etihad Etisalat Company,"Dammam, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Etihad Etisalat Company
Etihad Etisalat Company,"Jeddah, Saudi Arabia",Tier III Gold Certification of Operational Sustainability,Etihad Etisalat Company
Etihad Etisalat Company,"Jeddah, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Etihad Etisalat Company
Etihad Etisalat Company,"Riyadh, Saudi Arabia",Tier IV Certification of Design DocumentsTier IV Certification of Constructed FacilityTier IV Gold Certification of Operational Sustainability,Etihad Etisalat Company
Etihad Etisalat Company,"Dammam, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Etihad Etisalat Company
Etisalat,"Dubai, United Arab Emirates",M&O Stamp Of Approval,Etisalat
Etisalat,"Al Dhaid, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Etisalat
Etisalat,"Abu Dhabi, United Arab Emirates",M&O Stamp Of Approval,Etisalat
Etisalat,"Abu Dhabi , United Arab Emirates",Tier III Certification of Design Documents,Etisalat
Etisalat,"Abu Dhabi, United Arab Emirates",M&O Stamp Of Approval,Etisalat
Etisalat,"Dubai, United Arab Emirates",M&O Stamp Of Approval,Etisalat
Etisalat,"Dubai, United Arab Emirates",M&O Stamp Of Approval,Etisalat
Etisalat,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Etisalat
Etisalat,"Dubai, United Arab Emirates",Tier III Certification of Design Documents,Etisalat
Etisalat,"Al Ain, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Etisalat
Etisalat,"Dubai, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Etisalat
Etisalat,"Jebel Ali, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Etisalat
Etisalat,"Al Ain, United Arab Emirates",M&O Stamp Of ApprovalTier III Certification of Design Documents,Etisalat
Etisalat,"Fujairah, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Etisalat
Etisalat Misr,"Cairo, Egypt",Tier III Certification of Design Documents,Etisalat Misr
Etisalat Misr,"Cairo, Egypt",Tier III Certification of Design Documents,Etisalat Misr
Etisalat Nigeria,"Abuja, Nigeria",Tier II Certification of Design Documents,Etisalat Nigeria
Etix Everywhere,"Cali, Colombia",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,Etix Everywhere
"ETIX ITEL Bangkok Co., Ltd.","Samut Prakan, Thailand",Tier III Certification of Design Documents,"ETIX ITEL Bangkok Co., Ltd."
"ETIX ITEL Bangkok Co., Ltd.","Samut Prakan, Thailand",Tier III Certification of Constructed Facility,"ETIX ITEL Bangkok Co., Ltd."
Euro-Information,"Verlinghem, France",Tier IV Certification of Design Documents,Euro-Information
Euro-Information,"Verlinghem, France",Tier IV Certification of Constructed Facility,Euro-Information
Euro-Information,"Saint-Apollinaire, France",Tier IV Certification of Design Documents,Euro-Information
Euro-Information,"Fauverney, France",Tier IV Certification of Design Documents,Euro-Information
European Data Hub,"Luxembourg, Luxembourg",M&O Stamp Of Approval,European Data Hub
European Data Hub,"Luxembourg, Luxembourg",Tier IV Certification of Design Documents,European Data Hub
Exército Brasileiro,"Brasilia Distrito Federal, Brazil",Tier III Certification of Design Documents,Exército Brasileiro
Exército Brasileiro,"Brasilia Distrito Federal, Brazil",Tier III Certification of Constructed Facility,Exército Brasileiro
Faasri - Elitery,"Bogor West Java, Indonesia",Tier III Certification of Design Documents,Faasri - Elitery
Far EasTone Telecommunications Co. Ltd,"New Taipei City, Taiwan",Tier III Certification of Design Documents,Far EasTone Telecommunications Co. Ltd
Fastweb,"Milano, Italy",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,Fastweb
Federal Tax Service of Russia,"Dubna, Russia",Tier III Certification of Design Documents,Federal Tax Service of Russia
Federal Tax Service of Russia,"Gorodetz Nizhny Novgorod, Russia",Tier III Certification of Design Documents,Federal Tax Service of Russia
FedEx Services,"Colorado Springs Colorado, United States",M&O Stamp Of Approval,FedEx Services
Felicity BigData II Limited,"Jessore, Bangladesh",Tier III Certification of Design Documents,Felicity BigData II Limited
Felicity IDC Limited,"Gazipur, Bangladesh",Tier III Certification of Design Documents,Felicity IDC Limited
Fidelity Investments,"Papillion Nebraska, United States",M&O Stamp Of Approval,Fidelity Investments
Finacards SA,"Bouskoura, Morocco",Tier III Certification of Design Documents,Finacards SA
Financial Corporation,"Chicago Illinois, United States",Tier III Certification of Design Documents,Financial Corporation
Financiera Comultrasan,"Floridablanca Santander, Colombia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Financiera Comultrasan
FINEXUS SDN BHD,"Kuala Lumpur, Malaysia",Tier III Certification of Design Documents,FINEXUS SDN BHD
Fiocruz – Fundação Oswaldo Cruz,"Rio de Janeiro Rio de Janeiro, Brazil",Tier III Certification of Design Documents,Fiocruz – Fundação Oswaldo Cruz
First Abu Dhabi Bank PJSC,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design Documents,First Abu Dhabi Bank PJSC
First Data SSSA,"Buenos Aires, Argentina",Tier III Certification of Design Documents,First Data SSSA
FKG Group,"Toowoomba Queensland, Australia",Tier III Certification of Design Documents,FKG Group
FKG Group,"Toowoomba Queensland, Australia",Tier III Certification of Constructed Facility,FKG Group
Flexential,"Franklin Tennessee, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Flexential
Flexential,"Hillsboro Oregon, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Flexential
Flexential,"Las Vegas Nevada, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Flexential
Flexential,"Chaska Minnesota, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Flexential
Flexential,"Plano Texas, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Flexential
FORTRUST,"Denver Colorado, United States",M&O Stamp Of Approval,FORTRUST
FPT Telecom,"Ho Chi Minh City, Vietnam",Tier III Certification of Design Documents,FPT Telecom
FrontierDC,"Bibra Lake Western Australia, Australia",Tier III Certification of Design Documents,FrontierDC
"Frontiir Co., Ltd.","Yangon, Myanmar",Tier III Certification of Design Documents,"Frontiir Co., Ltd."
Fujitsu,"London, United Kingdom",M&O Stamp Of Approval,Fujitsu
Fujitsu Australia Pty Ltd.,"Pemulwuy, Australia",Tier III Certification of Design Documents,Fujitsu Australia Pty Ltd.
Fujitsu Australia Pty Ltd.,"Noble Park North, Australia",Tier III Certification of Design Documents,Fujitsu Australia Pty Ltd.
Fujitsu Australia Pty Ltd.,"Melbourne , Australia",M&O Stamp Of Approval,Fujitsu Australia Pty Ltd.
Fujitsu Australia Pty Ltd.,"Perth Western Australia, Australia",Tier IV Certification of Design Documents,Fujitsu Australia Pty Ltd.
Fujitsu Caribbean (Trinidad) Ltd,"Barataria, Trinidad and Tobago",Tier III Certification of Design Documents,Fujitsu Caribbean (Trinidad) Ltd
Fujitsu Caribbean (Trinidad) Ltd,"Barataria, Trinidad and Tobago",Tier III Certification of Constructed Facility,Fujitsu Caribbean (Trinidad) Ltd
Fujitsu Services,"London Greater London, United Kingdom",Tier III Certification of Constructed FacilityTier III Certification of Design DocumentsTier III Gold Certification of Operational Sustainability,Fujitsu Services
